Name;Discovered By;Seed;Drops;Tier;Attributes;Growth Stages;GS After Harvest;Relative Speed;Internal Name;Notes
Aurelia;IC2 Team;;Aurelia Leaves (for Gold);8;Gold, Leaves, Metal;5;2;Stages 1-3: 750 Stage 4: 2200;aurelia;Requires Gold Ore (Vanilla) or Block of Gold underneath farm block to fully mature.
Blackthorn;Alblaka;;Ink Sac;2;Black, Flower, Rose;4;3;Stages 1-2: 400 Stage 3: 600;blackthorn;Light level of at least 12.
Brown Mushroom;IC2 Team;;Mushroom (Brown);2;Brown, Food, Mushroom;3;1;Stages 1-2: 200;Brown Mushrooms;Must be hydrated.
Carrots;IC2 Team;Carrots;Carrots;2;Orange, Food, Carrots;3;1;Stages 1-2: 400;carrots;Light level of at least 12.
Cocoa;Notch;Cocoa;Cocoa;3;Brown, Food, Stem;4;3;Stages 1-2: 400 Stage 3: 900;cocoa;Nutrients of at least 3.
Coffee;Snoochy;Coffee Beans;Coffee Beans;7;Leaves, Ingredient, Beans;5;3;Stages 1-2: 1400 Stage 3: 700 Stage 4: 2100;coffee;"Light level of at least 9. Can be ""harvested"" at stage 4, but will give nothing."
Cyazint;Alblaka;;Cyan Dye;2;Blue, Flower;4;3;Stages 1-2: 400 Stage 3: 600;cyazint;Light level of at least 12.
Cyprium;IC2 Team;;Tiny Pile of Copper Dust;6;Orange, Leaves, Metal;4;2;Stages 1-2: 800 Stage 3: 2000;cyprium;Requires Copper Block underneath farm block to fully mature.
Dandelion;Notch;Dandelionx4;Dandelion Yellow;2;Yellow, Flower;4;3;Stages 1-2: 400 Stage 3: 600;dandelion;Light level of at least 12.
Eating Plant;Hasudako;;Cactus;6;Bad, Food;6;1;Stages 1-5: 1200 Grows 1.5x faster in swamp or mountain Gets extra speed bonus from air quality;eatingplant;Requires Lava (can be flow block) underneath farm block to fully mature. Light level of at least 10. Will attack the player if not wearing metal armor (Not working?) and drop Rotten Flesh. Attacks mobs too. Optimal harvest at stage 4, can still be harvested at stage 5, cannot be harvested at stage 6.
Ferru;IC2 Team;;Ferru Leaves (for Iron);6;Gray, Leaves, Metal;4;2;Stages 1-2: 800 Stage 3: 2000;ferru;Requires Iron Ore (Vanilla) or Block of Iron underneath farm block to fully mature.
Hops;IC2 Team;;Hops;5;Green, Ingredient, Wheat;7;3;Stages 1-6: 600;hops;Light level of at least 9.
Melon;Chao;Melon Seeds;Melon(Item), Melon(Block);2;Green, Food, Stem;4;3;Stages 1-2: 250 Stage 3: 700;melon;
Nether Wart;Notch;Nether Wart;Nether Wart;5;Red, Nether, Ingredient, Soulsand;3;1;Stages 1-2: 1000;netherWart;Grows faster with Soul Sand under it. Turns into Terra Wart if there is Snow under it.
Plumbiscus;IC2 Team;;Tiny Pile of Lead Dust;6;Dense, Leaves, Metal;4;2;Stages 1-2: 800 Stage 3: 2000;plumbiscus;Requires Lead Block underneath farm block to fully mature.
