Name;Discovered By;Seed;Drops;Tier;Attributes;Growth Stages;GS After Harvest;Relative Speed;Internal Name;Notes
Argentia;Eloraam;;Argentia Leaf (for Silver);7;Shiny, Metal, Silver, Reed;4;3;Stages 1-3: 1400;Argentia;Requires Silver Ore or Block of Silver underneath farm block to fully mature.
Bauxia;unknown;;Bauxia Leaf;6;Metal, Aluminium, Reed, Aluminium;3;2;Stages 1-2: 1200;Bauxia;Requires Aluminium Ore or Block of Aluminium (GT) underneath farm block to fully mature. You can chisel the one that you get from the compressor into the correct one.
Blazereed;Mr. Brain;;Blaze Powder, Blaze Rods;6;Fire, Blaze, Reed, Sulfur;4;1;Stages 1-3: 1200;Blazereed;
Bobsyeruncleranks;GenerikB;;Bobs-Yer-Uncle-Berry (for Emerald), Emerald;11;Shiny, Tendrilly, Emerald, Berylium, Crystal;4;1;Stages 1-3: 2200;Bobsyeruncleranks;Requires Emerald Ore or Block of Emerald underneath farm block to fully mature.
Brown Mushrooms;Mr. Brain;4x Brown Mushrooms;Brown Mushroom;1;Food, Mushroom, Ingredient;3;1;Stages 1-2: 200;Brown Mushrooms;
Chilly;unknown;;Chilly (causes Nausea);4;Food, Red, Spicy;4;1;Stages 1-3: 800;Chilly;
Coppon;Mr. Brain;;Coppon Fiber (for Copper);6;Shiny, Metal, Cotton, Copper, Bush;3;2;Stages 1-2: 1200;Coppon;Requires Copper Ore or Copper Block underneath farm block to fully mature.
Corium;Gregorius Techneticies;;Leather;6;Cow, Silk, Tendrilly;4;1;Stages 1-3: 1200;Corium;
Corpseplant;Mr. Kenny;;Rotten Flesh, Bone Meal, Bone;5;Toxic, Undead, Tendrilly, Food, Rotten;4;1;Stages 1-3: 1000;Corpseplant;
Creeperweed;General Spaz;;Gunpowder;7;Creeper, Tendrilly, Explosive, Fire, Sulfur, Saltpeter, Coal;4;1;Stages 1-3: 1400;Creeperweed;
Cucumber;unknown;;Cucumber;4;Food, Green;4;1;Stages 1-3: 800;Cucumber;
Diareed;Direwolf20;;Tiny Pile of Diamond Dust, Diamond;12;Fire, Shiny, Reed, Coal, Diamond, Crystal;4;1;Stages 1-3: 2400;Diareed;Requires Diamond Ore or Block of Diamond underneath farm block to fully mature.
Eggplant;Link;;Eggs, Chicken, Feather;6;Chicken, Egg, Food, Feather, Flower, Addictive;3;2;Stages 1-2: 1200;Eggplant;
Enderbloom;RichardG;;Ender Pearl Dust, Ender Pearl, Eye of Ender;10;Ender, Flower, Shiny;4;1;Stages 1-3: 2000;Enderbloom;
Evil Ore;unknown;;Tiny Pile of Nether Quartz Dust, Nether Quartz, Tiny Pile of Certus Quartz Dust;8;Crystal, Fire, Nether;4;3;Stages 1-3: 1600;Evil Ore;
Fertilia;unknown;;Tiny Pile of Calcite Dust, Phosphate Dust, Fertilizer(IC2), Tiny Pile of Apatite Dust;3;Growth, Healing, Flower;4;1;Stages 1-3: 600;Fertilia;Can be bred from Zomplant.
Flax;Eloraam;;String;2;Silk, Tendrilly, Addictive;4;1;Stages 1-3: 400;Flax;
Galvania;unknown;;Galvania Leaf (for Zinc);6;Metal, Alloy, Bush;3;2;Stages 1-2: 1200;Galvania;Requires Block of Zinc underneath farm block to fully mature.
Glowheat;unknown;;Tiny Pile of Glowstone Dust;10;Light, Shiny, Crystal;7;5;Stages 1-6: 2000;Glowheat;Other Glowstone options are better.
God of Thunder;unknown;;Thunder Leaf (for Thorium);9;Radioactive, Metal, Coal, Thorium;4;2;Stages 1-3: 1800;God of Thunder;Requires Thorium Ore or Block of Thorium underneath farm block to fully mature.
Grape;unknown;;Grape;4;Food, Purple;4;1;Stages 1-3: 800;Grape;
Indigo;Eloraam;4x Indigo Blossom;Indigo Blossom;2;Flower, Blue, Ingredient;4;1;Stages 1-3: 400;Indigo;
Lazulia;unknown;;Tiny Pile of Lapis Dust;7;Shiny, Bad, Crystal, Lapis;4;2;Stages 1-3: 1400;Lazulia;Requires Lapis Ore or Block of Lapis underneath farm block to fully mature. Not a great option for Lapis.
Lemon;unknown;;Lemon;4;Food, Yellow, Sour;4;1;Stages 1-3: 800;Lemon;
