InternalId;Attribute
1;Chicken
2;Iridium
3;Toxic
4;Egg
5;Feather
6;Saltpeter
7;Potato
8;Bush
9;Naquadah
10;Ghast
11;Tulip
12;Sour
13;Addictive
14;Zombie
15;Blaze
16;Bouncy
17;Sticky
18;Aluminium
19;Resin
20;Spicy
21;Ender
22;Stem
23;Wither
24;Sulfur
25;Lead
26;Red
27;Manganese
28;Crystal
29;Carrots
30;Soulsand
31;Spider
32;Weed
33;Ingredient
34;Purple
35;Mushroom
36;Dense
37;Olivine
38;Pig
39;Flower
40;Silver
41;Gray
42;Gold
43;Coal
44;Aether
45;Copper
46;Redstone
47;Snow
48;Fire
49;Decoration
50;Poison
51;Thorium
52;Danger
53;Processing
54;Reed
55;Rotten
56;Edible
57;Fish
58;Iron
59;Uranium
60;Blue
61;Tin
62;Radioactive
63;Tungsten
64;Cow
65;Netherstar
66;Explosive
67;Sapphire
68;Beans
69;Black
70;Slime
71;Troll
72;Creeper
73;Light
74;Oil
75;Orange
76;Ingrident
77;Leaves
78;Growth
79;Cotton
80;Yellow
81;Bad
82;Shiny
83;Wheat
84;Green
85;Dark
86;Pine
87;Milk
88;Transform
89;Food
90;Platinum
91;Undead
92;Nether
93;Heavy
94;Rose
95;Scrap
96;Alien
97;Alloy
98;Tree
99;Healing
100;Titanium
101;Hard
102;Wood
103;Consumable
104;Silk
105;Lapis
106;Clean
107;Vine
108;Metal
109;Brown
110;Diamond
111;Color
