InternalId;Code;Name;Tier;Size;Speed;aHarvest;Harvest;Chemistry;Food;Defensive;Colorful;Weed;RequiredBlock;RootsLength;GrowDuaration;MaxSumOfGrow;MinSumOfGrow;GainChance;OptimalHarvestSize;AdditionalRequirements;WeightInfluences
1;ic2;Weed;0;5;;;;0;0;1;0;5;;3;300;1200;;1.0;1;;
2;143;BrownMushrooms;1;3;0.0;1;3.0;0;2;0;0;2;;3;200;400;400.0;0.95;3;;
3;ic2;Pumpkin;1;4;;3;4.0;0;1;0;3;1;;3;600 if self.Size == 3 else 200;1000;600.0;0.95;4;;Humidity * 1.1 + Nutrients * 0.9 + Air
4;144;RedMushrooms;1;3;0.0;1;3.0;0;1;3;0;2;;3;200;400;400.0;0.95;3;;
5;ic2;Wheat;1;7;;2;7.0;0;4;0;0;2;;3;;1200;1000.0;0.95;7;LightLevel >= 9;
6;ic2;BrownMushroom;2;3;;1;3.0;0;4;0;0;4;;3;200;400;400.0;0.9025;3;;
7;ic2;Carrots;2;3;;1;3.0;0;4;0;0;2;;3;;800;800.0;0.9025;3;LightLevel >= 9;
8;ic2;Dandelion;2;4;;3;4.0;1;1;0;5;1;;3;600 if self.Size == 3 else 400;1400;600.0;0.9025;4;LightLevel >= 12;
9;125;Flax;2;4;0.0;1;4.0;1;1;2;0;1;;3;400;1200;1200.0;0.9025;4;;
10;124;Indigo;2;4;0.0;1;4.0;1;1;0;4;0;;3;400;1200;1200.0;0.9025;4;;
11;ic2;Melon;2;4;;3;4.0;0;4;0;2;0;;3;700 if self.Size == 3 else 250;1200;700.0;0.9025;4;;Humidity * 1.1 + Nutrients * 0.9 + Air
12;164;Olivia;2;4;0.0;3;4.0;2;0;5;2;6;Olivine;3;400;1200;400.0;0.9025;4;;
13;ic2;Potato;2;4;;1;3.0;0;4;0;0;2;;3;;1200;800.0;0.9025;3;LightLevel >= 9;
14;ic2;RedMushroom;2;3;;1;3.0;0;4;0;0;4;;3;200;400;400.0;0.9025;3;HydrationStorage > 0;
15;ic2;Reed;2;3;;1;2.0;0;0;1;0;2;;3;200;400;200.0;0.9025;3;;Humidity * 1.2 + Nutrients + Air * 0.8
