CropId;AttributeId
1;32
1;81
2;56
2;35
2;33
3;75
3;49
3;22
4;3
4;35
4;33
5;80
5;89
5;83
6;109
6;89
6;35
7;75
7;89
7;29
8;80
8;39
9;104
9;107
9;13
10;39
10;111
10;33
11;84
11;89
11;22
12;28
12;82
12;53
12;37
13;80
13;89
13;7
14;26
14;89
14;35
15;54
16;109
16;89
16;22
17;78
17;99
17;39
18;34
18;39
18;11
18;50
19;14
19;55
19;91
20;28
20;82
20;108
20;67
21;3
21;104
21;31
21;39
21;33
21;13
22;54
22;19
23;3
23;91
23;107
23;56
23;55
24;84
24;33
24;83
25;26
25;92
25;33
25;30
26;108
26;48
26;97
27;60
27;44
27;103
27;47
28;82
28;108
28;86
28;61
28;8
29;108
29;18
29;54
29;18
30;48
30;15
30;54
30;24
31;82
31;108
31;79
31;45
31;8
32;64
32;104
32;107
33;75
33;77
33;108
34;81
34;89
35;1
35;4
35;56
35;5
35;39
35;13
36;41
36;77
36;108
37;108
37;97
37;8
38;56
38;87
38;64
39;93
39;108
39;25
39;54
40;36
40;77
40;108
41;26
41;46
41;83
42;70
42;16
42;17
42;8
43;82
43;77
43;108
44;71
44;81
44;95
45;82
45;108
45;40
45;54
46;77
46;76
46;68
47;72
47;107
47;66
47;48
47;24
47;6
47;43
48;82
48;81
48;28
48;105
49;56
49;39
49;64
49;57
49;1
49;38
50;42
50;77
50;108
51;28
51;48
51;92
52;102
52;107
53;40
53;77
53;108
54;99
54;92
54;33
54;54
54;10
55;48
55;91
55;54
55;43
55;55
55;23
56;62
56;108
56;43
56;51
57;48
57;85
57;54
57;55
57;43
57;74
58;108
58;93
58;54
58;100
59;21
59;39
59;82
60;73
60;82
60;28
61;108
61;107
61;58
62;104
62;107
62;13
63;108
63;82
63;54
63;90
64;48
64;82
64;54
64;43
64;110
64;28
65;108
65;106
65;8
65;27
66;108
66;2
66;54
67;62
67;108
67;52
67;59
68;108
68;101
68;8
68;63
69;108
69;93
69;96
69;9
70;23
70;92
70;91
70;65
71;88
71;43
71;54
